source,rel,target,date,rank,role,conf,note
hsbc_wealth,offers,p_hsbc_wi,,,,,
p_hsbc_wi,built_on,openai,,,,,
p_hsbc_wi,enables,cap_rm,,,,,
p_hsbc_wi,enables,cap_research,,,,,
hsbc_wealth,offers,p_hsbc_wi_my,,,,,
p_hsbc_wi_my,enables,cap_rm,,,,,
p_hsbc_wi_my,enables,cap_research,,,,,
hsbc_wealth,offers,p_hsbc_decision,,,,,
p_hsbc_decision,built_on,google_cloud,,,,,
p_hsbc_decision,built_on,google_deepmind,,,,,
p_hsbc_decision,enables,cap_rm,,,,,
p_hsbc_decision,enables,cap_meeting,,,,,
hsbc,offers,p_hsbc_indices,,,,,
p_hsbc_indices,built_on,aws,,,,,
p_hsbc_indices,built_on,boosted,,,,,
p_hsbc_indices,built_on,ibm,,,,,
p_hsbc_indices,enables,cap_quant,,,,,
hsbc,offers,p_hsbc_prod,,,,,
p_hsbc_prod,enables,cap_colleague,,,,,
p_hsbc_prod,enables,cap_platform,,,,,
hsbc,offers,p_hsbc_code,,,,,
p_hsbc_code,enables,cap_coding,,,,,
hsbc,offers,p_hsbc_harvey,,,,,
p_hsbc_harvey,built_on,harvey,,,,,
p_hsbc_harvey,enables,cap_docs,,,,,
hsbc,offers,p_hsbc_dra,,,,,
p_hsbc_dra,built_on,google_cloud,,,,,
p_hsbc_dra,enables,cap_fraud,,,,,
hsbc,offers,p_hsbc_chatsum,,,,,
p_hsbc_chatsum,enables,cap_service,,,,,
p_hsbc_chatsum,enables,cap_meeting,,,,,
hsbc,offers,p_hsbc_cib,,,,,
p_hsbc_cib,enables,cap_service,,,,,
p_hsbc_cib,enables,cap_markets,,,,,
hsbc,offers,p_hsbc_credit,,,,,
p_hsbc_credit,enables,cap_credit,,,,,
p_hsbc_credit,enables,cap_docs,,,,,
hsbc,offers,p_hsbc_aimarkets,,,,,
p_hsbc_aimarkets,enables,cap_markets,,,,,
hsbc,offers,p_hsbc_hkma,,,,,
p_hsbc_hkma,enables,cap_client,,,,,
hsbc,offers,p_hsbc_amy,,,,,
p_hsbc_amy,enables,cap_client,,,,,
hsbc,offers,p_hsbc_gtrf,,,,,
p_hsbc_gtrf,built_on,ibm,,,,,
p_hsbc_gtrf,enables,cap_docs,,,,,
hsbc,offers,p_hsbc_quantum,,,,,
p_hsbc_quantum,built_on,ibm,,,,,
p_hsbc_quantum,enables,cap_quant,,,,,
barclays,offers,p_bar_copilot,,,,,
p_bar_copilot,built_on,microsoft,,,,,
p_bar_copilot,enables,cap_colleague,,,,,
barclays,offers,p_bar_agent,,,,,
p_bar_agent,built_on,microsoft,,,,,
p_bar_agent,enables,cap_colleague,,,,,
barclays,offers,p_bar_gitlab,,,,,
p_bar_gitlab,built_on,gitlab,,,,,
p_bar_gitlab,enables,cap_coding,,,,,
barclays,offers,p_bar_ukassist,,,,,
p_bar_ukassist,enables,cap_service,,,,,
barclays,offers,p_bar_barxbot,,,,,
p_bar_barxbot,enables,cap_markets,,,,,
barclays,offers,p_bar_credit,,,,,
p_bar_credit,enables,cap_credit,,,,,
barclays_us,offers,p_bar_samsung,,,,,
p_bar_samsung,enables,cap_coding,,,,,
barclays_wealth,offers,p_bar_pbwmsum,,,,,
p_bar_pbwmsum,enables,cap_meeting,,,,,
p_bar_pbwmsum,enables,cap_rm,,,,,
barclays_wealth,offers,p_bar_premier,,,,,
p_bar_premier,enables,cap_guidance,,,,,
barclays_us,offers,p_bar_uscall,,,,,
p_bar_uscall,enables,cap_service,,,,,
p_bar_uscall,enables,cap_meeting,,,,,
barclays_us,offers,p_bar_usconv,,,,,
p_bar_usconv,enables,cap_client,,,,,
p_bar_usconv,enables,cap_service,,,,,
barclays,offers,p_bar_fraud,,,,,
p_bar_fraud,enables,cap_fraud,,,,,
citi_wealth,offers,p_citi_askwealth,,,,,
p_citi_askwealth,enables,cap_rm,,,,,
p_citi_askwealth,enables,cap_research,,,,,
citi_wealth,offers,p_citi_insights,,,,,
p_citi_insights,enables,cap_rm,,,,,
p_citi_insights,enables,cap_portfolio,,,,,
citi_wealth,offers,p_citi_pi,,,,,
p_citi_pi,built_on,google_cloud,,,,,
p_citi_pi,built_on,palantir,,,,,
p_citi_pi,enables,cap_portfolio,,,,,
p_citi_pi,enables,cap_client,,,,,
citi_wealth,offers,p_citi_askcio,,,,,
p_citi_askcio,enables,cap_research,,,,,
p_citi_askcio,enables,cap_rm,,,,,
citi_wealth,offers,p_citi_c360,,,,,
p_citi_c360,enables,cap_rm,,,,,
p_citi_c360,enables,cap_portfolio,,,,,
citi_wealth,offers,p_citi_scribe,,,,,
p_citi_scribe,enables,cap_meeting,,,,,
citi_wealth,offers,p_citi_sky,,,,,
p_citi_sky,built_on,google_cloud,,,,,
p_citi_sky,built_on,google_deepmind,,,,,
p_citi_sky,enables,cap_client,,,,,
p_citi_sky,enables,cap_guidance,,,,,
p_citi_sky,enables,cap_research,,,,,
citi_wealth,offers,p_citi_cioagent,,,,,
p_citi_cioagent,built_on,google_cloud,,,,,
p_citi_cioagent,built_on,palantir,,,,,
p_citi_cioagent,enables,cap_research,,,,,
p_citi_cioagent,enables,cap_platform,,,,,
citi_wealth,offers,p_citi_prepagent,,,,,
p_citi_prepagent,enables,cap_rm,,,,,
citi_wealth,offers,p_citi_builder,,,,,
p_citi_builder,built_on,jemstep,,,,,
p_citi_builder,enables,cap_robo,,,,,
citi,offers,p_citi_assist,,,,,
p_citi_assist,enables,cap_colleague,,,,,
citi,offers,p_citi_stylus,,,,,
p_citi_stylus,built_on,google_cloud,,,,,
p_citi_stylus,built_on,anthropic,,,,,
p_citi_stylus,enables,cap_colleague,,,,,
p_citi_stylus,enables,cap_docs,,,,,
citi,offers,p_citi_arc,,,,,
p_citi_arc,enables,cap_platform,,,,,
citi,offers,p_citi_dev,,,,,
p_citi_dev,built_on,github,,,,,
p_citi_dev,built_on,cognition,,,,,
p_citi_dev,enables,cap_coding,,,,,
citi,offers,p_citi_agentassist,,,,,
p_citi_agentassist,enables,cap_service,,,,,
citi,offers,p_citi_sales,,,,,
p_citi_sales,built_on,google_cloud,,,,,
p_citi_sales,built_on,meta,,,,,
p_citi_sales,built_on,anthropic,,,,,
p_citi_sales,enables,cap_markets,,,,,
citi,offers,p_citi_clientassist,,,,,
p_citi_clientassist,enables,cap_markets,,,,,
p_citi_clientassist,enables,cap_client,,,,,
citi,offers,p_citi_idp,,,,,
p_citi_idp,enables,cap_docs,,,,,
citi,offers,p_citi_cards,,,,,
p_citi_cards,enables,cap_credit,,,,,
lloyds,offers,p_lbg_athena,,,,,
p_lbg_athena,built_on,google_cloud,,,,,
p_lbg_athena,enables,cap_service,,,,,
p_lbg_athena,enables,cap_colleague,,,,,
lloyds,offers,p_lbg_fa,,,,,
p_lbg_fa,enables,cap_client,,,,,
p_lbg_fa,enables,cap_guidance,,,,,
lloyds,offers,p_lbg_vertex,,,,,
p_lbg_vertex,built_on,google_cloud,,,,,
p_lbg_vertex,enables,cap_platform,,,,,
lloyds,offers,p_lbg_envoy,,,,,
p_lbg_envoy,built_on,google_cloud,,,,,
p_lbg_envoy,enables,cap_platform,,,,,
lloyds,offers,p_lbg_copilot,,,,,
p_lbg_copilot,built_on,microsoft,,,,,
p_lbg_copilot,enables,cap_colleague,,,,,
lloyds,offers,p_lbg_github,,,,,
p_lbg_github,built_on,github,,,,,
p_lbg_github,enables,cap_coding,,,,,
lloyds,offers,p_lbg_hr,,,,,
p_lbg_hr,enables,cap_colleague,,,,,
lloyds,offers,p_lbg_merlin,,,,,
p_lbg_merlin,enables,cap_service,,,,,
lloyds,offers,p_lbg_cre,,,,,
p_lbg_cre,enables,cap_docs,,,,,
lloyds,offers,p_lbg_mortgage,,,,,
p_lbg_mortgage,enables,cap_credit,,,,,
p_lbg_mortgage,enables,cap_docs,,,,,
scottish_widows,offers,p_lbg_investai,,,,,
p_lbg_investai,enables,cap_guidance,,,,,
p_lbg_investai,enables,cap_client,,,,,
lloyds_wealth,offers,p_lbg_aveni_detect,,,,,
p_lbg_aveni_detect,built_on,aveni,,,,,
p_lbg_aveni_detect,enables,cap_compliance,,,,,
lloyds,offers,p_lbg_fraudagents,,,,,
p_lbg_fraudagents,enables,cap_fraud,,,,,
lloyds,offers,p_lbg_scamcheck,,,,,
p_lbg_scamcheck,enables,cap_fraud,,,,,
p_lbg_scamcheck,enables,cap_client,,,,,
lloyds,offers,p_lbg_dre,,,,,
p_lbg_dre,enables,cap_fraud,,,,,
natwest,offers,p_nw_cora,,,,,
p_nw_cora,built_on,ibm,,,,,
p_nw_cora,enables,cap_client,,,,,
p_nw_cora,enables,cap_service,,,,,
natwest,offers,p_nw_agentic,,,,,
p_nw_agentic,built_on,openai,,,,,
p_nw_agentic,enables,cap_client,,,,,
natwest,offers,p_nw_fraudcora,,,,,
p_nw_fraudcora,built_on,openai,,,,,
p_nw_fraudcora,enables,cap_fraud,,,,,
p_nw_fraudcora,enables,cap_client,,,,,
natwest,offers,p_nw_chatgpt,,,,,
p_nw_chatgpt,built_on,openai,,,,,
p_nw_chatgpt,enables,cap_agentaccess,,,,,
p_nw_chatgpt,enables,cap_client,,,,,
natwest,offers,p_nw_voice,,,,,
p_nw_voice,enables,cap_client,,,,,
coutts,offers,p_nw_rmsum,,,,,
p_nw_rmsum,enables,cap_meeting,,,,,
p_nw_rmsum,enables,cap_rm,,,,,
coutts,offers,p_nw_crm,,,,,
p_nw_crm,built_on,microsoft,,,,,
p_nw_crm,enables,cap_rm,,,,,
natwest,offers,p_nw_digitalwm,,,,,
p_nw_digitalwm,enables,cap_guidance,,,,,
natwest,offers,p_nw_internal,,,,,
p_nw_internal,built_on,microsoft,,,,,
p_nw_internal,enables,cap_colleague,,,,,
natwest,offers,p_nw_archie,,,,,
p_nw_archie,enables,cap_colleague,,,,,
natwest,offers,p_nw_coding,,,,,
p_nw_coding,enables,cap_coding,,,,,
natwest,offers,p_nw_callsum,,,,,
p_nw_callsum,enables,cap_service,,,,,
p_nw_callsum,enables,cap_meeting,,,,,
natwest,offers,p_nw_fincrime,,,,,
p_nw_fincrime,built_on,camunda,,,,,
p_nw_fincrime,enables,cap_fraud,,,,,
natwest,offers,p_nw_bankline,,,,,
p_nw_bankline,enables,cap_markets,,,,,
jpmpi,offers,p_jpm_robo,,,,,
p_jpm_robo,enables,cap_robo,,,,,
jpmpi,offers,p_jpm_smartalpha,,,,,
p_jpm_smartalpha,enables,cap_robo,,,,,
jpmpi,offers,p_jpm_planner,,,,,
p_jpm_planner,enables,cap_guidance,,,,,
jpmc,offers,p_jpm_llmsuite,,,,,
p_jpm_llmsuite,built_on,openai,,,,,
p_jpm_llmsuite,built_on,anthropic,,,,,
p_jpm_llmsuite,enables,cap_colleague,,,,,
p_jpm_llmsuite,enables,cap_platform,,,,,
jpmc,offers,p_jpm_coach,,,,,
p_jpm_coach,enables,cap_rm,,,,,
p_jpm_coach,enables,cap_research,,,,,
jpmc,offers,p_jpm_indexgpt,,,,,
p_jpm_indexgpt,built_on,openai,,,,,
p_jpm_indexgpt,enables,cap_quant,,,,,
jpmc,offers,p_jpm_smartcash,,,,,
p_jpm_smartcash,enables,cap_client,,,,,
