id,type,label,group,date,status,ai,audience,region,wealth,conf,desc,metrics,src
cap_rm,capability,RM / adviser copilot,,,,,,,True,,"Assistants that help relationship managers and advisers prepare, answer and act for clients.",,
cap_research,capability,Research & CIO synthesis,,,,,,,True,,"Summarising Chief Investment Office research, market data and news.",,
cap_meeting,capability,Meeting notes & call summaries,,,,,,,True,,"Automatic summaries of client meetings, calls and chats.",,
cap_portfolio,capability,Portfolio insights,,,,,,,True,,"AI views of positions, exposure, performance and alerts.",,
cap_guidance,capability,AI investment guidance,,,,,,,True,,"Client-facing guidance, targeted support or simplified advice.",,
cap_robo,capability,Automated portfolios,,,,,,,True,,Robo / automated portfolio construction and rebalancing (often rules-based).,,
cap_client,capability,Client-facing assistant,,,,,,,False,,Conversational or agentic assistants that customers use directly.,,
cap_agentaccess,capability,Access via third-party AI agents,,,,,,,False,,"Letting outside assistants (ChatGPT, Claude, MCP / agent skills) reach the firm's products.",,
cap_service,capability,Service & contact-centre assist,,,,,,,False,,"Agent assist, knowledge search, complaint and call handling.",,
cap_fraud,capability,Fraud & financial crime,,,,,,,False,,"Fraud, scam, AML and money-mule detection.",,
cap_colleague,capability,Colleague productivity,,,,,,,False,,"Enterprise GenAI assistants, Copilot and HR self-service for staff.",,
cap_coding,capability,AI coding & engineering,,,,,,,False,,"Coding assistants, code review and agentic software engineering.",,
cap_platform,capability,Enterprise AI / agent platform,,,,,,,False,,"Internal platforms for building, governing and scaling models and agents.",,
cap_docs,capability,Document processing,,,,,,,False,,"Legal, credit, onboarding and trade document analysis.",,
cap_credit,capability,Credit & underwriting,,,,,,,False,,"AI in credit decisions, underwriting and risk.",,
cap_markets,capability,Markets & institutional AI,,,,,,,False,,"AI for institutional, corporate and markets clients.",,
cap_quant,capability,AI indices & quant,,,,,,,False,,"AI-driven indices, thematic baskets and quantitative research.",,
cap_foundation,capability,Proprietary / domain model,,,,,,,False,,In-house foundation models or financial-services-specific LLMs.,,
cap_compliance,capability,Conduct & compliance monitoring,,,,,,,False,,"AI monitoring of advice quality, conduct and vulnerability.",,
hsbc,institution,HSBC,hsbc,,,,,,,,"Benchmark baseline. Multi-model: OpenAI (Wealth Intelligence), self-hosted Mistral, Google Cloud Gemini. ~85% of staff have GenAI tools; 600+ AI use cases.",Evident AI Index 2025: #8 (top UK bank) | 85% of employees have GenAI tools | 600+ AI use cases; 100+ active GenAI | US$1.8bn costs reallocated to growth incl. AI,https://www.hsbc.com/who-we-are/hsbc-and-digital/hsbc-and-ai/transforming-hsbc-with-ai https://www.bankingdive.com/news/hsbc-generative-ai-leading-investment-elhedery/813353/
hsbc_wealth,institution,HSBC Private Bank & Wealth,hsbc,,,,,,,,"Global Private Banking and International Wealth & Premier Banking. Wealth AI push is Asia-first (HK, SG, MY).",,https://www.privatebanking.hsbc.com/media-releases-and-news/hsbc-deploys-wealth-intelligence/
hsbc_am,institution,HSBC Asset Management,hsbc,,,,,,,,AI activity found so far is venture investing (Model ML) via its US$81bn Alternatives platform.,,https://www.uktech.news/fintech/hsbc-model-ml-investment-20260811
barclays,institution,Barclays,barclays,,,,,,,,"AI framed as a cost lever (""icing on the cake""). Microsoft-centric colleague AI; 250+ AI tools and models in use.",Evident AI Index 2025: #23 | ~100k Microsoft 365 Copilot seats | 250+ AI tools/models (secondary) | ~£2bn savings targeted 2026–28 (secondary),https://home.barclays/insights/2025/07/scaling-AI-at-Barclays/ https://diginomica.com/tale-two-banks-simplification-and-ai-barclays-story
barclays_wealth,institution,Barclays Private Bank & Wealth,barclays,,,,,,,,PBWM plus Barclays UK Premier Wealth Management and Direct Investing (ex-Smart Investor). Very little wealth-specific AI disclosed.,,https://home.barclays/news/press-releases/20260/04/barclays-supports-investors-with-launch-of-new-wealth-offering--0/
barclays_us,institution,Barclays US Consumer Bank,barclays,,,,,,,,US cards business; site of the largest disclosed Barclays GenAI service deployment.,,https://home.barclays/news/press-releases/20260/02/barclays-harnesses-genai-to-deliver-world-class-customer-service1/
citi,institution,Citi,citi,,,,,,,,"Internal GenAI suite (Citi Assist, Stylus, Arc) using Gemini, Claude and Llama. ~180k staff with access; nearly 9 in 10 using AI tools (Q2 2026).","Evident 2025: ""Most Entrepreneurial"" (overall rank unconfirmed) | ~90% of staff using AI tools (Q2 2026) | 42m AI interactions (Q1 2026) | ~100k developer hours freed per week | $5bn investment plan 2026–28",https://www.fool.com/earnings/call-transcripts/2026/07/21/citi-c-q2-2026-earnings-call-transcript/ https://fortune.com/2026/04/15/citi-new-cfo-touts-ai-gains-bank-posts-record-24-6-billion-revenue-quarter/
citi_wealth,institution,Citi Wealth / Private Bank,citi,,,,,,,,"Citi Private Bank, Citigold, Citi Private Client, Wealth at Work. Launches in North America first, then globally.",,https://www.citigroup.com/rcs/citigpa/storage/public/investor-day/citi-ID26-wealth-presentation-transcript.pdf
lloyds,institution,Lloyds Banking Group,lloyds,,,,,,,,"Platform-led AI with three vendor layers: Google Cloud (Vertex AI, Envoy), Microsoft (Copilot, E7) and Aveni (FinLLM). Quantifies AI value.",Evident AI Index 2025: #15 (up 12; tied top for Responsible AI) | ~£50m GenAI value in 2025; >£100m targeted 2026 | 800+ AI models in production | Accelerate 2030: £2bn gross savings 2027–30,https://www.lloydsbankinggroup.com/media/press-releases/2026/lloyds-banking-group/ai-driven-benefits-2026.html https://www.lloydsbankinggroup.com/who-we-are/group-overview/artificial-intelligence.html
scottish_widows,institution,Scottish Widows,lloyds,,,,,,,,"Pensions and investments arm (6.5m+ customers, 5m workplace pension customers). Home of InvestAI.",,https://www.scottishwidows.co.uk/about-us/media-centre/press-releases/expert-backed-ai-earns-pension-savers-trust.html
lloyds_wealth,institution,Lloyds Wealth (ex-SPW),lloyds,,,,,,,,Formerly Schroders Personal Wealth; LBG took full ownership Oct 2025 and rebranded ~May 2026. AuA figures conflict (£17bn vs £9.4bn).,,https://www.bloomberg.com/news/articles/2025-10-09/lloyds-takes-control-of-schroders-personal-wealth-joint-venture https://www.financialplanningtoday.co.uk/news/lloyds-wealth-launches-ai-simplified-advice-service
natwest,institution,NatWest Group,natwest,,,,,,,,"""UK firsts"": first UK bank to partner OpenAI, first with an app in ChatGPT, early customer-facing agentic assistant. All 60,000 colleagues have AI tools.","Evident AI Index 2025: #16 (secondary) | £1.2bn tech, data and AI spend in 2025 | ~35% of code AI-written | ~£100m investment capacity freed via AI engineering",https://www.natwestgroup.com/news-and-insights/latest-stories/ai-and-data/2026/feb/being-a-trusted-partner-for-tomorrows-banking-through-technology.html
coutts,institution,Coutts / PB&WM,natwest,,,,,,,,"Private Banking & Wealth Management. AI focus is RM productivity (summaries, internal GenAI, CRM insight), not client-facing AI.",,https://www.investors.rbs.com/~/media/Files/R/RBS-IR-V2/documents/natwest-group-private-banking-wealth-management-spotlight-transcript-260625.pdf
jpmc,institution,JPMorgan Chase,jpm,,,,,,,,"#1 in AI maturity (Evident, four years running). Group AI (LLM Suite, Coach AI, IndexGPT) not confirmed as deployed in the UK Nutmeg/JPMPI business.",Evident AI Index 2025: #1 (4th year) | ~$1.5bn value from AI | 450 AI use cases (May 2025),https://www.jpmorganchase.com/about/technology/blog/jpmc-evident-25 https://www.investing.com/news/stock-market-news/jpmorgan-says-ai-helped-boost-sales-add-clients-in-market-turmoil-4022588
jpmpi,institution,J.P. Morgan Personal Investing (ex-Nutmeg),jpm,,,,,,,,"UK digital wealth manager; Nutmeg rebranded 3 Nov 2025. >270k clients, >£8.75bn. No ML or GenAI customer product publicly announced.",,https://www.personalinvesting.jpmorgan.com/insights/introducing-jpmorgan-personal-investing https://www.pymnts.com/partnerships/2025/wealth-management-platform-nutmeg-to-rebrand-as-j-p-morgan-personal-investing/
chase_uk,institution,Chase UK,jpm,,,,,,,,JPMorgan's UK digital bank; distributes JPMPI in-app. No Chase-UK-specific AI fraud tools found in primary sources.,,https://www.chase.co.uk/gb/en/media/chase-makes-investing-more-rewarding-with-nutmeg-link/
revolut,institution,Revolut,revolut,,,,,,,,"AI-first fintech: own banking foundation model (PRAGMA), AIR assistant for 13M UK customers, AI-first support. Full UK banking licence 11 Mar 2026.",70M+ customers; 13M UK | £4.5bn revenue 2025 (+46%) | >£600M potential fraud prevented in 2024 | 1bn+ transactions a month,https://tech.eu/2026/03/11/revolut-wins-full-uk-banking-licence-as-finally-exits-mobilisation-phase/ https://thenextweb.com/news/revolut-private-bank-wealth-management-ipo
revolut_x,institution,Revolut X,revolut,,,,,,,,Revolut's standalone crypto exchange; site of its most agentic customer feature.,,https://www.revolut.com/blog/post/revolut-x-connects-with-your-ai-assistant-uk/
t212,institution,Trading 212,t212,,,,,,,,"Execution-only broker. AI strategy is ""explain, don't advise"": LLM summaries and chatbot with strong disclaimers; agent-ready public API.","~4.5m customers, >£25bn client assets (May 2025) | UK Ltd FY2025 revenue £277.6m",https://uk.news.yahoo.com/meet-trading-212-ivan-ashminov-142641751.html
p_hsbc_wi,product,Wealth Intelligence,hsbc,2025-09-16,live,genai,rm,"HK, SG (MY from Sep 2026)",True,verified,"In-house GenAI platform on OpenAI's LLM. Analyses and summarises CIO and HSBC research plus external news from 10,000+ sources for RMs, investment counsellors and product specialists. Does not advise clients. Product screening and asset-allocation suggestions are roadmap only.","10,000+ data sources | No usage or time-saved metrics published",https://www.privatebanking.hsbc.com/media-releases-and-news/hsbc-deploys-wealth-intelligence/ https://www.fstech.co.uk/fst/Hsbc_deploys_gen_ai_proprietary_platform_to_boost_customer_service.php
p_hsbc_wi_my,product,Wealth Intelligence – Malaysia,hsbc,2026-09-09,live,genai,rm,Malaysia,True,secondary,"Malaysia rollout for RMs: analyses CIO data, market commentary and unit trust fund information. Internal use only.",,https://fintechnews.my/60791/wealthtech-malaysia/hsbc-ai-wealth-intelligence-malaysia/
p_hsbc_decision,product,RM decision assistant (Google Cloud),hsbc,2026-06-17,rollout,agentic,rm,Global (Asia focus),True,verified,"Hyper-personalised wealth support and an AI decision assistant for thousands of RMs, one of three initial areas of the Google Cloud partnership. Codifies regulatory procedures for RM decisions.","Admin and meeting-prep time cut ""from hours to minutes""",https://www.hsbc.com/news-and-views/news/media-releases/2026/hsbc-and-google-cloud-announce-transformative-ai-banking-partnership https://www.theasianbanker.com/updates-and-articles/hsbc-expands-google-cloud-ai-partnership-with-100-million-use-case-threshold
p_hsbc_indices,product,"AI investment indices (AiGT, AiPEX, AiMAX)",hsbc,2023-04-20,live,ml,institutional,US / global,False,verified,Global Banking & Markets AI indices used as underlyings for wealth and insurance products. AiGT uses AWS ML and is hosted by Boosted.ai; AiPEXAR used IBM Watson.,,https://www.about.us.hsbc.com/newsroom/press-releases/hsbc-launches-ai-powered-equity-index-using-aws https://aipex.gbm.hsbc.com/
p_hsbc_prod,product,Group LLM productivity tool,hsbc,,live,genai,colleague,Global,False,verified,"LLM-based colleague tool for translation, document analysis and text help. No named brand. CTO is building a central AI platform giving staff model access.",85% of employees have GenAI access,https://www.hsbc.com/who-we-are/hsbc-and-digital/hsbc-and-ai/transforming-hsbc-with-ai
p_hsbc_code,product,Developer coding assistants,hsbc,,live,genai,developer,Global,False,verified,"Coding assistants for 20,000+ developers. Vendor not disclosed.","20,000+ developers | 15% coding efficiency gain | Code & vulnerability patching ""five times faster""",https://www.hsbc.com/who-we-are/hsbc-and-digital/hsbc-and-ai/transforming-hsbc-with-ai https://www.bankingdive.com/news/hsbc-generative-ai-leading-investment-elhedery/813353/
p_hsbc_harvey,product,Harvey for Group Legal,hsbc,2026-01-20,pilot,genai,colleague,,False,verified,"Pilot for contract analysis, due diligence, compliance and litigation support.",,https://www.hsbc.com/news-and-views/news/media-releases/2026/hsbc-announces-harvey-ai-for-their-legal-platform
